id,source,text,label,scene_id,movie/series/book name,classification,notes,,
260,synthetic,I appreciate the way you challenge me to be a better person while loving exactly who I am now.,intimacy,,none,verbalised appreciation,,,
261,movie,I’m scared of walking out of this room and never feeling the rest of my whole life the way I feel when I’m with you.,intimacy,,dirty dancing,personal disclosure,,,
262,book,"I would take her healthy, or sick, or tired, or angry, or strong, and it would be my fucking privilege",commitment,,the love hypothesis,statements choosing the partner,,,
263,book,Out of all the people I've met... none has ever felt as necessary as you do,intimacy,,not in love,verbalised appreciation,,,
264,book,"I have never wanted anything as desperately, as ungovernably, as persistently as I want you",passion,,Problematic Summer Romance,Explicit or implicit sexual desire,,,
265,book,"I would take her for a single night knowing that I'll lose her by morning, and I would hold on to her and never let go",commitment,,bride,Loyalty despite hardship,,,
266,book,I wish you could see yourself the way I see you,intimacy,,the love hypothesis,verbalised appreciation,,,
267,book,"all I think about is taking her to my office, stripping her, doing unspeakable things to her",passion,,love on the brain,Explicit or implicit sexual desire,,,
268,book,"I want to hold her hand, and I want to lock her in my bedroom",passion,,love on the brain,Explicit or implicit sexual desire,,,
269,book,"I want to tell her that she’s luminous, she’s so bright in my mind, sometimes I can’t focus.",intimacy,,love on the brain,verbalised appreciation,,,
270,book,"Maybe you're not meant for me the way I'm meant for you, but I'm going to choose you anyway, over and over and over again.",commitment,,bride,statements choosing the partner,,,
271,book,"I want you, Elsie. All the time. I think of you. All. The. Fucking. Time",passion,,"love,theoretically",obsessive thinking about the partner,,,
272,book,"There is no universe in which I’m going to let you go. I want to be with you, on you, every second of every day",commitment,,"love,theoretically",statements choosing the partner,,,
273,book,he had made her feel unjudged. Less alone.,intimacy,,the love hypothesis,personal disclosure,,,
274,book,"Of all the good things I’ve felt in my fucking life, you are the best.",intimacy,,bride,verbalised appreciation,,,
275,book,You are the most magnificent thing that ever happened to me,intimacy,,"love,theoretically",verbalised appreciation,,,
276,book,What do you want to call me?I want to call you mine.,commitment,,powerless,statements choosing the partner,,,
277,book,"when his eyes lock with mine, I wonder why I ever bother looking at anyone else.",passion,,powerless,physical attraction statements,,,
278,book,"She’s so stunning, yet so stubbornly oblivious to how the sunset behind dulls in comparison to the vibrance that is her",passion,,powerless,physical attraction statements,,,
279,book,I’d do anything for you. No matter how twisted or impossible,commitment,,twisted love,sacrifice for the relationship,,,
280,book,"Trust me, Princess. I would rather end my own life than ask you to do anything that might hurt you",commitment,,twisted games,sacrifice for the relationship,,,
281,book,"You will always be my first, last and only love.",commitment,,twisted lies,statements choosing the partner,,,
282,book,"You’re mine,Let another man touch you, Jules, and you’ll find out just how easily I can take a man’s life as I can save one",passion,,twisted hate,Jealous intensity linked to desire,,,
283,book,How does he look at me?Like he never wants to look away.,passion,,king of wrath,physical attraction statements,,,
284,book,"When I’m not with her, I wish she were there. When I am with her, I want that moment to last forever.",intimacy,,twisted hate,verbalised appreciation,,,
285,book,"The day I met you Was the luckiest day of my life. You’ve always been the brightest part of my world, Butterfly. And you always will be.",intimacy,,twisted lies,verbalised appreciation,,,
286,book,"I never really lived before you, And I don’t want to imagine living after you.Stay with me, love. Please",intimacy,,king of pride,personal disclosure,,,
287,book,"You’re still my favorite person, Lily. Always will be.",intimacy,,it ends with us ,verbalised appreciation,,,
288,synthetic,I want to pull you so close that I can feel your heart hammering against my own ribs.,passion,,none,desire for physical closeness,,,
289,synthetic,I want to explore every inch of your body with my lips until you’re begging me to stop—or to never stop,passion,,none,Explicit or implicit sexual desire,,,
290,synthetic,I want to pull you so close that there isn't a single space left between us.,passion,,none,desire for physical closeness,,,
291,synthetic,I am the only one who gets to see you like that,passion,,none ,Jealous intensity linked to desire,,,
292,synthetic,"I couldn't stop looking at you since the moment I met you , and I am not going to stop now",passion,,none,physical attraction statements,,,
293,synthetic,"you're my everything, I would never let you go",intimacy,,none ,verbalised appreciation,,,
294,synthetic,in a room full of people you're the only person I will look for,intimacy,,none ,verbalised appreciation,,,
295,synthetic,"you accept me for who I am , for that I am eternally grateful",intimacy,,none ,personal disclosure,,,
296,synthetic,I want to feel your hands on me,passion,,none ,desire for physical closeness,,,
297,synthetic,I want to see every inch of you and tell you how perfect you are,passion,,none ,Explicit or implicit sexual desire,,,
298,synthetic,I can't sop thinking about his hands on my skin and the way he held me,passion,,none ,obsessive thinking about the partner,,,
299,synthetic,I miss having you in my arms and touching your hair to sleep,passion,,none ,desire for physical closeness,,,
300,synthetic,"when I look at you, I can't help but want to kiss your lips",passion,,none ,Explicit or implicit sexual desire,,,
301,synthetic,I can't help how my body reacts when you're near,passion,,none ,Explicit or implicit sexual desire,,,
302,synthetic,if he ever lays a hand on you again he won't like what happens next,passion,,none ,Jealous intensity linked to desire,,,
303,synthetic,I want to make love to you until you know nothing else,passion,,none ,Explicit or implicit sexual desire,,,
,,passion,101,,,,,,
,,intimacy,101,,,,,,
,,commitment,101,,,,,,
,,total,303,,,,,,
